race_id,race_date,racecourse,country,race_type,race_class,race_distance,going,prize_money,position,horse_name,jockey,trainer,owner,age,official_rating,weight_carried,sp_odds,beat_favorite,finish_time,form,year,month,days_since_last_run,ground_preference,handicap,fractional_odds
1001,2023-01-01,Ascot,France,Flat,Class 3,1m 2f,Firm,12725,1,Horse 44,Jockey 25,Trainer 11,Owner 24,3,61,13-10,1,False,0:02:30.621000,731,2023,1,58,Versatile,False,1/1
1001,2023-01-01,Ascot,France,Flat,Class 3,1m 2f,Firm,12725,2,Horse 26,Jockey 22,Trainer 14,Owner 7,8,119,12-11,45,False,0:02:39.243000,217,2023,1,99,Versatile,False,44/1
1001,2023-01-01,Ascot,France,Flat,Class 3,1m 2f,Firm,12725,3,Horse 147,Jockey 36,Trainer 32,Owner 5,2,96,8-10,30,False,0:01:38.843000,842,2023,1,21,Prefers Soft,True,29/1
1001,2023-01-01,Ascot,France,Flat,Class 3,1m 2f,Firm,12725,4,Horse 7,Jockey 14,Trainer 11,Owner 21,6,60,15-6,10,False,0:02:45.482000,852,2023,1,78,Versatile,True,9/1
1001,2023-01-01,Ascot,France,Flat,Class 3,1m 2f,Firm,12725,5,Horse 165,Jockey 35,Trainer 25,Owner 6,7,98,13-11,14,False,0:02:22.269000,885,2023,1,67,Prefers Firm,False,13/1
1001,2023-01-01,Ascot,France,Flat,Class 3,1m 2f,Firm,12725,6,Horse 58,Jockey 18,Trainer 37,Owner 2,4,62,9-0,45,False,0:02:54.423000,491,2023,1,27,Versatile,True,44/1
1001,2023-01-01,Ascot,France,Flat,Class 3,1m 2f,Firm,12725,7,Horse 100,Jockey 34,Trainer 27,Owner 18,12,110,17-1,18,False,0:02:39.080000,719,2023,1,89,Prefers Good,False,17/1
1001,2023-01-01,Ascot,France,Flat,Class 3,1m 2f,Firm,12725,8,Horse 147,Jockey 34,Trainer 37,Owner 22,11,68,9-11,31,False,0:01:30.995000,443,2023,1,93,Prefers Good,True,30/1
1001,2023-01-01,Ascot,France,Flat,Class 3,1m 2f,Firm,12725,9,Horse 11,Jockey 28,Trainer 6,Owner 22,8,75,10-4,41,False,0:02:40.932000,227,2023,1,81,Prefers Soft,False,40/1
1001,2023-01-01,Ascot,France,Flat,Class 3,1m 2f,Firm,12725,10,Horse 143,Jockey 26,Trainer 36,Owner 11,6,116,15-9,3,False,0:03:59.601000,972,2023,1,81,Prefers Good,True,2/1
1002,2023-01-01,Epsom,Ireland,Hurdle,Class 5,3m,Soft,16133,1,Horse 145,Jockey 50,Trainer 7,Owner 26,6,118,13-11,5,False,0:02:51.585000,813,2023,1,94,Prefers Good,True,4/1
1002,2023-01-01,Epsom,Ireland,Hurdle,Class 5,3m,Soft,16133,2,Horse 71,Jockey 26,Trainer 10,Owner 20,11,101,8-1,28,False,0:02:35.050000,856,2023,1,30,Prefers Good,True,27/1
1002,2023-01-01,Epsom,Ireland,Hurdle,Class 5,3m,Soft,16133,3,Horse 6,Jockey 22,Trainer 20,Owner 10,6,112,9-11,17,False,0:01:39.997000,865,2023,1,9,Prefers Soft,False,16/1
1002,2023-01-01,Epsom,Ireland,Hurdle,Class 5,3m,Soft,16133,4,Horse 187,Jockey 27,Trainer 39,Owner 21,3,74,15-9,16,False,0:02:51.777000,961,2023,1,28,Prefers Soft,False,15/1
1002,2023-01-01,Epsom,Ireland,Hurdle,Class 5,3m,Soft,16133,5,Horse 132,Jockey 11,Trainer 5,Owner 10,10,101,10-4,36,False,0:03:21.177000,441,2023,1,59,Versatile,False,35/1
1002,2023-01-01,Epsom,Ireland,Hurdle,Class 5,3m,Soft,16133,6,Horse 64,Jockey 3,Trainer 30,Owner 2,7,75,12-11,26,False,0:02:52.406000,214,2023,1,8,Prefers Good,True,25/1
