race_id,race_date,racecourse,country,race_type,race_class,race_distance,going,prize_money,position,horse_name,jockey,trainer,owner,age,official_rating,weight_carried,sp_odds,beat_favorite,finish_time,form,year,month,days_since_last_run,ground_preference,handicap,fractional_odds
1001,2023-01-01,Ascot,France,Flat,Class 3,1m 2f,Firm,12725,1,Hot Rod Charlie,Pierre-Charles Boudot,Brad Cox,Calumet Farm,3,61,13-10,1,False,0:02:30.621000,731,2023,1,58,Versatile,False,1/1
1001,2023-01-01,Ascot,France,Flat,Class 3,1m 2f,Firm,12725,2,Olympiad,Paul Townend,Dan Skelton,Wertheimer et Frere,8,119,12-11,45,False,0:02:39.243000,217,2023,1,99,Versatile,False,44/1
1001,2023-01-01,Ascot,France,Flat,Class 3,1m 2f,Firm,12725,3,Mind Control,Joel Rosario,Henry de Bromhead,Klaravich Stables,2,96,8-10,30,False,0:01:38.843000,842,2023,1,21,Prefers Soft,True,29/1
1001,2023-01-01,Ascot,France,Flat,Class 3,1m 2f,Firm,12725,4,Gerrymander,Maxime Guyon,Brad Cox,Sheikh Mohammed Obaid,6,60,15-6,10,False,0:02:45.482000,852,2023,1,78,Versatile,True,9/1
1001,2023-01-01,Ascot,France,Flat,Class 3,1m 2f,Firm,12725,5,Ce Ce,Bryony Frost,Paul Nicholls,James Harron Bloodstock,7,98,13-11,14,False,0:02:22.269000,885,2023,1,67,Prefers Firm,False,13/1
1001,2023-01-01,Ascot,France,Flat,Class 3,1m 2f,Firm,12725,6,Regal Glory,James McDonald,Jessica Harrington,Winstar Farm,4,62,9-0,45,False,0:02:54.423000,491,2023,1,27,Versatile,True,44/1
1001,2023-01-01,Ascot,France,Flat,Class 3,1m 2f,Firm,12725,7,Classic Causeway,Christophe Soumillon,Jean-Claude Rouget,Gigginstown House Stud,12,110,17-1,18,False,0:02:39.080000,719,2023,1,89,Prefers Good,False,17/1
1001,2023-01-01,Ascot,France,Flat,Class 3,1m 2f,Firm,12725,8,Mind Control,Christophe Soumillon,Jessica Harrington,Hamdan Al Maktoum,11,68,9-11,31,False,0:01:30.995000,443,2023,1,93,Prefers Good,True,30/1
1001,2023-01-01,Ascot,France,Flat,Class 3,1m 2f,Firm,12725,9,War Like Goddess,Shane Foley,Dermot Weld,Hamdan Al Maktoum,8,75,10-4,41,False,0:02:40.932000,227,2023,1,81,Prefers Soft,False,40/1
1001,2023-01-01,Ascot,France,Flat,Class 3,1m 2f,Firm,12725,10,Lone Rock,Tommy Berry,Ciaron Maher & David Eustace,Moyglare Stud,6,116,15-9,3,False,0:03:59.601000,972,2023,1,81,Prefers Good,True,2/1
1002,2023-01-01,Epsom,Ireland,Hurdle,Class 5,3m,Soft,16133,1,Dream of Dreams,Luis Saez,Christophe Clement,Michael Tabor,6,118,13-11,5,False,0:02:51.585000,813,2023,1,94,Prefers Good,True,4/1
1002,2023-01-01,Epsom,Ireland,Hurdle,Class 5,3m,Soft,16133,2,Glass Slippers,Tommy Berry,Bill Mott,JP McManus,11,101,8-1,28,False,0:02:35.050000,856,2023,1,30,Prefers Good,True,27/1
1002,2023-01-01,Epsom,Ireland,Hurdle,Class 5,3m,Soft,16133,3,Aloha West,Paul Townend,Ger Lyons,Rich and Susannah Ricci,6,112,9-11,17,False,0:01:39.997000,865,2023,1,9,Prefers Soft,False,16/1
1002,2023-01-01,Epsom,Ireland,Hurdle,Class 5,3m,Soft,16133,4,Cyberknife,Hugh Bowman,Gordon Elliott,Sheikh Mohammed Obaid,3,74,15-9,16,False,0:02:51.777000,961,2023,1,28,Prefers Soft,False,15/1
1002,2023-01-01,Epsom,Ireland,Hurdle,Class 5,3m,Soft,16133,5,Express Train,Jack Kennedy,Bob Baffert,Rich and Susannah Ricci,10,101,10-4,36,False,0:03:21.177000,441,2023,1,59,Versatile,False,35/1
1002,2023-01-01,Epsom,Ireland,Hurdle,Class 5,3m,Soft,16133,6,Bella Sofia,Danny Mullins,Willie Mullins,Winstar Farm,7,75,12-11,26,False,0:02:52.406000,214,2023,1,8,Prefers Good,True,25/1
1003,2023-01-01,Goodwood,USA,Bumper,Class 2,2m,Soft,75264,1,Epicenter,Jack Kennedy,Philip Hobbs,Calumet Farm,3,86,8-10,1,False,0:01:56.798000,444,2023,1,94,Versatile,False,1/1
1003,2023-01-01,Goodwood,USA,Bumper,Class 2,2m,Soft,75264,2,Life Is Good,Maxime Guyon,Nicky Henderson,Sheikh Mohammed Obaid,8,115,8-10,46,False,0:01:50.933000,331,2023,1,36,Prefers Soft,True,45/1
1003,2023-01-01,Goodwood,USA,Bumper,Class 2,2m,Soft,75264,3,Regal Glory,Oisin Murphy,Gordon Elliott,Michael Tabor,6,85,14-1,27,False,0:02:49.258000,485,2023,1,44,Versatile,True,26/1
1003,2023-01-01,Goodwood,USA,Bumper,Class 2,2m,Soft,75264,4,Life Is Good,Christophe Soumillon,Andrew Balding,Godolphin,11,63,8-10,35,False,0:03:43.574000,552,2023,1,8,Versatile,True,34/1
1003,2023-01-01,Goodwood,USA,Bumper,Class 2,2m,Soft,75264,5,Tarnawa,Davy Russell,Chris Waller,Coolmore,12,91,12-11,19,False,0:03:39.192000,394,2023,1,70,Prefers Good,True,18/1
1003,2023-01-01,Goodwood,USA,Bumper,Class 2,2m,Soft,75264,6,Country Grammer,Olivier Peslier,Mark Casse,Hamdan Al Maktoum,7,67,8-10,44,False,0:02:38.265000,777,2023,1,66,Prefers Soft,False,43/1
1003,2023-01-01,Goodwood,USA,Bumper,Class 2,2m,Soft,75264,7,High Definition,Danny Mullins,Aidan O'Brien,Middleham Park Racing,11,74,13-10,49,False,0:03:34.702000,986,2023,1,27,Prefers Good,False,48/1
